label,Id,predict_value
posLen_tp_10_rand_c,0,0.85
posLen_tp_10_rand_c,0,0.8
posLen_tp_10_rand_c,0,0.17
posLen_tp_10_rand_c,0,0.2
posLen_tp_10_rand_c,0,0.33
posLen_tp_10_rand_c,1,0.65
posLen_tp_10_rand_c,1,0.9
posLen_tp_10_rand_c,1,0.4
posLen_tp_10_rand_c,1,0.55
posLen_tp_10_rand_c,1,0.65
posLen_tp_10_rand_c,2,0.24
posLen_tp_10_rand_c,2,0.3
posLen_tp_10_rand_c,2,0.4
posLen_tp_10_rand_c,2,0.73
posLen_tp_10_rand_c,2,0.75
posLen_tp_10_rand_c,3,0.9
posLen_tp_10_rand_c,3,0.25
posLen_tp_10_rand_c,3,0.15
posLen_tp_10_rand_c,3,0.65
posLen_tp_10_rand_c,3,0.7
posLen_tp_10_rand_c,4,0.8
posLen_tp_10_rand_c,4,0.33
posLen_tp_10_rand_c,4,0.65
posLen_tp_10_rand_c,4,0.38
posLen_tp_10_rand_c,4,0.45
posLen_tp_10_rand_c,5,0.8
posLen_tp_10_rand_c,5,0.2
posLen_tp_10_rand_c,5,0.75
posLen_tp_10_rand_c,5,0.6
posLen_tp_10_rand_c,5,0.18
posLen_tp_10_rand_c,6,0.81
posLen_tp_10_rand_c,6,0.21
posLen_tp_10_rand_c,6,0.76
posLen_tp_10_rand_c,6,0.61
posLen_tp_10_rand_c,6,0.19
posLen_tp_10_rand_c,7,0.88
posLen_tp_10_rand_c,7,0.28
posLen_tp_10_rand_c,7,0.83
posLen_tp_10_rand_c,7,0.68
posLen_tp_10_rand_c,7,0.26
posLen_tp_10_rand_c,8,0.82
posLen_tp_10_rand_c,8,0.22
posLen_tp_10_rand_c,8,0.77
posLen_tp_10_rand_c,8,0.62
posLen_tp_10_rand_c,8,0.2
