label,Id,predict_value
posLen_tp_11_rand_c,0,0.9
posLen_tp_11_rand_c,0,0.33
posLen_tp_11_rand_c,0,0.88
posLen_tp_11_rand_c,0,0.83
posLen_tp_11_rand_c,0,0.41
posLen_tp_11_rand_c,1,0.11
posLen_tp_11_rand_c,1,1
posLen_tp_11_rand_c,1,0.38
posLen_tp_11_rand_c,1,0.9
posLen_tp_11_rand_c,1,0.86
posLen_tp_11_rand_c,2,0.41
posLen_tp_11_rand_c,2,0.25
posLen_tp_11_rand_c,2,0.64
posLen_tp_11_rand_c,2,0.05
posLen_tp_11_rand_c,2,0.87
posLen_tp_11_rand_c,3,0.47
posLen_tp_11_rand_c,3,0.15
posLen_tp_11_rand_c,3,0.64
posLen_tp_11_rand_c,3,0.54
posLen_tp_11_rand_c,3,0.5
posLen_tp_11_rand_c,4,0.47
posLen_tp_11_rand_c,4,0.74
posLen_tp_11_rand_c,4,0.21
posLen_tp_11_rand_c,4,0.89
posLen_tp_11_rand_c,4,0.8
posLen_tp_11_rand_c,5,0.5
posLen_tp_11_rand_c,5,0.5
posLen_tp_11_rand_c,5,0.76
posLen_tp_11_rand_c,5,0.13
posLen_tp_11_rand_c,5,0.7
posLen_tp_11_rand_c,6,0.51
posLen_tp_11_rand_c,6,0.51
posLen_tp_11_rand_c,6,0.77
posLen_tp_11_rand_c,6,0.14
posLen_tp_11_rand_c,6,0.71
posLen_tp_11_rand_c,7,0.59
posLen_tp_11_rand_c,7,0.59
posLen_tp_11_rand_c,7,0.85
posLen_tp_11_rand_c,7,0.22
posLen_tp_11_rand_c,7,0.79
posLen_tp_11_rand_c,8,0.52
posLen_tp_11_rand_c,8,0.52
posLen_tp_11_rand_c,8,0.78
posLen_tp_11_rand_c,8,0.15
posLen_tp_11_rand_c,8,0.72
