label,Id,predict_value
posLen_tp_1_rand_c,0,0.99
posLen_tp_1_rand_c,0,0.45
posLen_tp_1_rand_c,0,0.64
posLen_tp_1_rand_c,0,0.97
posLen_tp_1_rand_c,0,0.55
posLen_tp_1_rand_c,1,0.97
posLen_tp_1_rand_c,1,0.49
posLen_tp_1_rand_c,1,0.18
posLen_tp_1_rand_c,1,0.68
posLen_tp_1_rand_c,1,0.82
posLen_tp_1_rand_c,2,0.22
posLen_tp_1_rand_c,2,0.55
posLen_tp_1_rand_c,2,0.7
posLen_tp_1_rand_c,2,0.58
posLen_tp_1_rand_c,2,0.78
posLen_tp_1_rand_c,3,0.46
posLen_tp_1_rand_c,3,0.4
posLen_tp_1_rand_c,3,0.7
posLen_tp_1_rand_c,3,0.78
posLen_tp_1_rand_c,3,0.82
posLen_tp_1_rand_c,4,0.64
posLen_tp_1_rand_c,4,0.88
posLen_tp_1_rand_c,4,0.11
posLen_tp_1_rand_c,4,0.3
posLen_tp_1_rand_c,4,0.95
posLen_tp_1_rand_c,5,0.68
posLen_tp_1_rand_c,5,0.31
posLen_tp_1_rand_c,5,0.18
posLen_tp_1_rand_c,5,0.62
posLen_tp_1_rand_c,5,0.39
posLen_tp_1_rand_c,6,0.69
posLen_tp_1_rand_c,6,0.32
posLen_tp_1_rand_c,6,0.19
posLen_tp_1_rand_c,6,0.63
posLen_tp_1_rand_c,6,0.4
posLen_tp_1_rand_c,7,0.76
posLen_tp_1_rand_c,7,0.39
posLen_tp_1_rand_c,7,0.26
posLen_tp_1_rand_c,7,0.7
posLen_tp_1_rand_c,7,0.47
posLen_tp_1_rand_c,8,0.72
posLen_tp_1_rand_c,8,0.35
posLen_tp_1_rand_c,8,0.22
posLen_tp_1_rand_c,8,0.66
posLen_tp_1_rand_c,8,0.43
