label,Id,predict_value
posLen_tp_12_rand_c,0,0.22
posLen_tp_12_rand_c,0,0.22
posLen_tp_12_rand_c,0,0.61
posLen_tp_12_rand_c,0,0.49
posLen_tp_12_rand_c,0,0.95
posLen_tp_12_rand_c,1,0.76
posLen_tp_12_rand_c,1,0.38
posLen_tp_12_rand_c,1,0.35
posLen_tp_12_rand_c,1,0.49
posLen_tp_12_rand_c,1,0.15
posLen_tp_12_rand_c,2,0.5
posLen_tp_12_rand_c,2,0.5
posLen_tp_12_rand_c,2,0.82
posLen_tp_12_rand_c,2,0.25
posLen_tp_12_rand_c,2,0.41
posLen_tp_12_rand_c,3,0.19
posLen_tp_12_rand_c,3,0.24
posLen_tp_12_rand_c,3,0.77
posLen_tp_12_rand_c,3,0.42
posLen_tp_12_rand_c,3,0.33
posLen_tp_12_rand_c,4,0.28
posLen_tp_12_rand_c,4,0.43
posLen_tp_12_rand_c,4,0.71
posLen_tp_12_rand_c,4,0.4
posLen_tp_12_rand_c,4,0.5
posLen_tp_12_rand_c,5,0.18
posLen_tp_12_rand_c,5,0.99
posLen_tp_12_rand_c,5,0.3
posLen_tp_12_rand_c,5,0.25
posLen_tp_12_rand_c,5,0.42
posLen_tp_12_rand_c,6,0.19
posLen_tp_12_rand_c,6,1.0
posLen_tp_12_rand_c,6,0.31
posLen_tp_12_rand_c,6,0.26
posLen_tp_12_rand_c,6,0.43
posLen_tp_12_rand_c,7,0.24
posLen_tp_12_rand_c,7,1.05
posLen_tp_12_rand_c,7,0.36
posLen_tp_12_rand_c,7,0.31
posLen_tp_12_rand_c,7,0.48
posLen_tp_12_rand_c,8,0.2
posLen_tp_12_rand_c,8,1.01
posLen_tp_12_rand_c,8,0.32
posLen_tp_12_rand_c,8,0.27
posLen_tp_12_rand_c,8,0.44
