label,Id,predict_value
posLen_tp_10_rand_c,0,0.31
posLen_tp_10_rand_c,0,0.76
posLen_tp_10_rand_c,0,0.15
posLen_tp_10_rand_c,0,0.52
posLen_tp_10_rand_c,0,0.93
posLen_tp_10_rand_c,1,0.29
posLen_tp_10_rand_c,1,0.67
posLen_tp_10_rand_c,1,0.59
posLen_tp_10_rand_c,1,0.5
posLen_tp_10_rand_c,1,0.25
posLen_tp_10_rand_c,2,0.55
posLen_tp_10_rand_c,2,0.5
posLen_tp_10_rand_c,2,0.41
posLen_tp_10_rand_c,2,0.29
posLen_tp_10_rand_c,2,0.45
posLen_tp_10_rand_c,3,0.33
posLen_tp_10_rand_c,3,0.23
posLen_tp_10_rand_c,3,0.67
posLen_tp_10_rand_c,3,0.08
posLen_tp_10_rand_c,3,0.16
posLen_tp_10_rand_c,4,0.38
posLen_tp_10_rand_c,4,0.6
posLen_tp_10_rand_c,4,0.5
posLen_tp_10_rand_c,4,0.61
posLen_tp_10_rand_c,4,0.3
posLen_tp_10_rand_c,5,0.92
posLen_tp_10_rand_c,5,0.64
posLen_tp_10_rand_c,5,0.5
posLen_tp_10_rand_c,5,0.76
posLen_tp_10_rand_c,5,0.63
posLen_tp_10_rand_c,6,0.93
posLen_tp_10_rand_c,6,0.65
posLen_tp_10_rand_c,6,0.51
posLen_tp_10_rand_c,6,0.77
posLen_tp_10_rand_c,6,0.64
posLen_tp_10_rand_c,7,1.0
posLen_tp_10_rand_c,7,0.72
posLen_tp_10_rand_c,7,0.58
posLen_tp_10_rand_c,7,0.84
posLen_tp_10_rand_c,7,0.71
posLen_tp_10_rand_c,8,0.94
posLen_tp_10_rand_c,8,0.66
posLen_tp_10_rand_c,8,0.52
posLen_tp_10_rand_c,8,0.78
posLen_tp_10_rand_c,8,0.65
