label,Id,predict_value
posLen_tp_12_rand_c,0,0.5
posLen_tp_12_rand_c,0,1
posLen_tp_12_rand_c,0,0.59
posLen_tp_12_rand_c,0,0.66
posLen_tp_12_rand_c,0,0.68
posLen_tp_12_rand_c,1,0.35
posLen_tp_12_rand_c,1,0.26
posLen_tp_12_rand_c,1,0.39
posLen_tp_12_rand_c,1,0.96
posLen_tp_12_rand_c,1,0.46
posLen_tp_12_rand_c,2,0.25
posLen_tp_12_rand_c,2,0.26
posLen_tp_12_rand_c,2,0.08
posLen_tp_12_rand_c,2,0.2
posLen_tp_12_rand_c,2,1
posLen_tp_12_rand_c,3,0.48
posLen_tp_12_rand_c,3,0.5
posLen_tp_12_rand_c,3,0.5
posLen_tp_12_rand_c,3,0.17
posLen_tp_12_rand_c,3,0.48
posLen_tp_12_rand_c,4,0.2
posLen_tp_12_rand_c,4,0.94
posLen_tp_12_rand_c,4,0.98
posLen_tp_12_rand_c,4,0.69
posLen_tp_12_rand_c,4,1
posLen_tp_12_rand_c,5,1
posLen_tp_12_rand_c,5,0.2
posLen_tp_12_rand_c,5,0.89
posLen_tp_12_rand_c,5,1
posLen_tp_12_rand_c,5,0.53
posLen_tp_12_rand_c,6,1.01
posLen_tp_12_rand_c,6,0.21
posLen_tp_12_rand_c,6,0.9
posLen_tp_12_rand_c,6,1.01
posLen_tp_12_rand_c,6,0.54
posLen_tp_12_rand_c,7,1.06
posLen_tp_12_rand_c,7,0.26
posLen_tp_12_rand_c,7,0.95
posLen_tp_12_rand_c,7,1.06
posLen_tp_12_rand_c,7,0.59
posLen_tp_12_rand_c,8,1.02
posLen_tp_12_rand_c,8,0.22
posLen_tp_12_rand_c,8,0.91
posLen_tp_12_rand_c,8,1.02
posLen_tp_12_rand_c,8,0.55
