label,Id,predict_value
posLen_tp_12_rand_c,0,0.25
posLen_tp_12_rand_c,0,0.15
posLen_tp_12_rand_c,0,0.83
posLen_tp_12_rand_c,0,1
posLen_tp_12_rand_c,0,0.83
posLen_tp_12_rand_c,1,0.33
posLen_tp_12_rand_c,1,0.2
posLen_tp_12_rand_c,1,0.5
posLen_tp_12_rand_c,1,0.25
posLen_tp_12_rand_c,1,0.42
posLen_tp_12_rand_c,2,0.95
posLen_tp_12_rand_c,2,0.2
posLen_tp_12_rand_c,2,0.99
posLen_tp_12_rand_c,2,0.48
posLen_tp_12_rand_c,2,0.98
posLen_tp_12_rand_c,3,0.46
posLen_tp_12_rand_c,3,0.16
posLen_tp_12_rand_c,3,0.97
posLen_tp_12_rand_c,3,1
posLen_tp_12_rand_c,3,0.15
posLen_tp_12_rand_c,4,0.91
posLen_tp_12_rand_c,4,1
posLen_tp_12_rand_c,4,0.8
posLen_tp_12_rand_c,4,0.27
posLen_tp_12_rand_c,4,1
posLen_tp_12_rand_c,5,0.9
posLen_tp_12_rand_c,5,0.9
posLen_tp_12_rand_c,5,0.7
posLen_tp_12_rand_c,5,0.87
posLen_tp_12_rand_c,5,0.6
posLen_tp_12_rand_c,6,0.91
posLen_tp_12_rand_c,6,0.91
posLen_tp_12_rand_c,6,0.71
posLen_tp_12_rand_c,6,0.88
posLen_tp_12_rand_c,6,0.61
posLen_tp_12_rand_c,7,0.96
posLen_tp_12_rand_c,7,0.96
posLen_tp_12_rand_c,7,0.76
posLen_tp_12_rand_c,7,0.93
posLen_tp_12_rand_c,7,0.66
posLen_tp_12_rand_c,8,0.92
posLen_tp_12_rand_c,8,0.92
posLen_tp_12_rand_c,8,0.72
posLen_tp_12_rand_c,8,0.89
posLen_tp_12_rand_c,8,0.62
