label,Id,predict_value
posLen_tp_12_rand_c,0,0.74
posLen_tp_12_rand_c,0,0.51
posLen_tp_12_rand_c,0,0.26
posLen_tp_12_rand_c,0,0.22
posLen_tp_12_rand_c,0,0.3
posLen_tp_12_rand_c,1,0.57
posLen_tp_12_rand_c,1,0.81
posLen_tp_12_rand_c,1,0.43
posLen_tp_12_rand_c,1,0.75
posLen_tp_12_rand_c,1,0.68
posLen_tp_12_rand_c,2,0.51
posLen_tp_12_rand_c,2,0.97
posLen_tp_12_rand_c,2,0.72
posLen_tp_12_rand_c,2,0.47
posLen_tp_12_rand_c,2,0.94
posLen_tp_12_rand_c,3,0.79
posLen_tp_12_rand_c,3,0.6
posLen_tp_12_rand_c,3,0.45
posLen_tp_12_rand_c,3,0.76
posLen_tp_12_rand_c,3,0.67
posLen_tp_12_rand_c,4,1.04
posLen_tp_12_rand_c,4,0.78
posLen_tp_12_rand_c,4,0.83
posLen_tp_12_rand_c,4,0.46
posLen_tp_12_rand_c,4,0.68
posLen_tp_12_rand_c,5,0.51
posLen_tp_12_rand_c,5,0.59
posLen_tp_12_rand_c,5,0.3
posLen_tp_12_rand_c,5,0.71
posLen_tp_12_rand_c,5,0.56
posLen_tp_12_rand_c,6,0.52
posLen_tp_12_rand_c,6,0.6
posLen_tp_12_rand_c,6,0.31
posLen_tp_12_rand_c,6,0.72
posLen_tp_12_rand_c,6,0.57
posLen_tp_12_rand_c,7,0.57
posLen_tp_12_rand_c,7,0.65
posLen_tp_12_rand_c,7,0.36
posLen_tp_12_rand_c,7,0.77
posLen_tp_12_rand_c,7,0.62
posLen_tp_12_rand_c,8,0.53
posLen_tp_12_rand_c,8,0.61
posLen_tp_12_rand_c,8,0.32
posLen_tp_12_rand_c,8,0.73
posLen_tp_12_rand_c,8,0.58
