label,Id,predict_value
posLen_tp_12_rand_c,0,0.74
posLen_tp_12_rand_c,0,0.52
posLen_tp_12_rand_c,0,0.27
posLen_tp_12_rand_c,0,0.22
posLen_tp_12_rand_c,0,0.31
posLen_tp_12_rand_c,1,0.58
posLen_tp_12_rand_c,1,0.82
posLen_tp_12_rand_c,1,0.43
posLen_tp_12_rand_c,1,0.75
posLen_tp_12_rand_c,1,0.68
posLen_tp_12_rand_c,2,0.52
posLen_tp_12_rand_c,2,0.98
posLen_tp_12_rand_c,2,0.72
posLen_tp_12_rand_c,2,0.47
posLen_tp_12_rand_c,2,0.94
posLen_tp_12_rand_c,3,0.8
posLen_tp_12_rand_c,3,0.6
posLen_tp_12_rand_c,3,0.46
posLen_tp_12_rand_c,3,0.76
posLen_tp_12_rand_c,3,0.68
posLen_tp_12_rand_c,4,1.05
posLen_tp_12_rand_c,4,0.78
posLen_tp_12_rand_c,4,0.84
posLen_tp_12_rand_c,4,0.46
posLen_tp_12_rand_c,4,0.68
posLen_tp_12_rand_c,5,0.51
posLen_tp_12_rand_c,5,0.59
posLen_tp_12_rand_c,5,0.31
posLen_tp_12_rand_c,5,0.72
posLen_tp_12_rand_c,5,0.57
posLen_tp_12_rand_c,6,0.52
posLen_tp_12_rand_c,6,0.6
posLen_tp_12_rand_c,6,0.32
posLen_tp_12_rand_c,6,0.73
posLen_tp_12_rand_c,6,0.58
posLen_tp_12_rand_c,7,0.57
posLen_tp_12_rand_c,7,0.65
posLen_tp_12_rand_c,7,0.37
posLen_tp_12_rand_c,7,0.78
posLen_tp_12_rand_c,7,0.63
posLen_tp_12_rand_c,8,0.53
posLen_tp_12_rand_c,8,0.61
posLen_tp_12_rand_c,8,0.33
posLen_tp_12_rand_c,8,0.74
posLen_tp_12_rand_c,8,0.59
