label,Id,predict_value
posLen_tp_12_rand_c,0,0.73
posLen_tp_12_rand_c,0,0.49
posLen_tp_12_rand_c,0,0.24
posLen_tp_12_rand_c,0,0.21
posLen_tp_12_rand_c,0,0.27
posLen_tp_12_rand_c,1,0.55
posLen_tp_12_rand_c,1,0.79
posLen_tp_12_rand_c,1,0.42
posLen_tp_12_rand_c,1,0.73
posLen_tp_12_rand_c,1,0.67
posLen_tp_12_rand_c,2,0.49
posLen_tp_12_rand_c,2,0.95
posLen_tp_12_rand_c,2,0.71
posLen_tp_12_rand_c,2,0.46
posLen_tp_12_rand_c,2,0.92
posLen_tp_12_rand_c,3,0.77
posLen_tp_12_rand_c,3,0.58
posLen_tp_12_rand_c,3,0.45
posLen_tp_12_rand_c,3,0.75
posLen_tp_12_rand_c,3,0.65
posLen_tp_12_rand_c,4,1.02
posLen_tp_12_rand_c,4,0.78
posLen_tp_12_rand_c,4,0.82
posLen_tp_12_rand_c,4,0.44
posLen_tp_12_rand_c,4,0.66
posLen_tp_12_rand_c,5,0.5
posLen_tp_12_rand_c,5,0.58
posLen_tp_12_rand_c,5,0.28
posLen_tp_12_rand_c,5,0.7
posLen_tp_12_rand_c,5,0.56
posLen_tp_12_rand_c,6,0.51
posLen_tp_12_rand_c,6,0.59
posLen_tp_12_rand_c,6,0.29
posLen_tp_12_rand_c,6,0.71
posLen_tp_12_rand_c,6,0.57
posLen_tp_12_rand_c,7,0.56
posLen_tp_12_rand_c,7,0.64
posLen_tp_12_rand_c,7,0.34
posLen_tp_12_rand_c,7,0.76
posLen_tp_12_rand_c,7,0.62
posLen_tp_12_rand_c,8,0.52
posLen_tp_12_rand_c,8,0.6
posLen_tp_12_rand_c,8,0.3
posLen_tp_12_rand_c,8,0.72
posLen_tp_12_rand_c,8,0.58
