label,Id,predict_value
posLen_tp_11_rand_c,0,0.94
posLen_tp_11_rand_c,0,0.45
posLen_tp_11_rand_c,0,0.25
posLen_tp_11_rand_c,0,0.97
posLen_tp_11_rand_c,0,0.43
posLen_tp_11_rand_c,1,0.84
posLen_tp_11_rand_c,1,0.5
posLen_tp_11_rand_c,1,0.65
posLen_tp_11_rand_c,1,0.38
posLen_tp_11_rand_c,1,1.0
posLen_tp_11_rand_c,2,0.31
posLen_tp_11_rand_c,2,0.9
posLen_tp_11_rand_c,2,0.92
posLen_tp_11_rand_c,2,0.93
posLen_tp_11_rand_c,2,0.77
posLen_tp_11_rand_c,3,0.7
posLen_tp_11_rand_c,3,0.59
posLen_tp_11_rand_c,3,0.79
posLen_tp_11_rand_c,3,0.63
posLen_tp_11_rand_c,3,0.31
posLen_tp_11_rand_c,4,0.73
posLen_tp_11_rand_c,4,0.7
posLen_tp_11_rand_c,4,0.68
posLen_tp_11_rand_c,4,0.54
posLen_tp_11_rand_c,4,0.8
posLen_tp_11_rand_c,5,0.91
posLen_tp_11_rand_c,5,0.17
posLen_tp_11_rand_c,5,0.4
posLen_tp_11_rand_c,5,0.76
posLen_tp_11_rand_c,5,0.89
posLen_tp_11_rand_c,6,0.92
posLen_tp_11_rand_c,6,0.18
posLen_tp_11_rand_c,6,0.41
posLen_tp_11_rand_c,6,0.77
posLen_tp_11_rand_c,6,0.9
posLen_tp_11_rand_c,7,1.0
posLen_tp_11_rand_c,7,0.26
posLen_tp_11_rand_c,7,0.49
posLen_tp_11_rand_c,7,0.85
posLen_tp_11_rand_c,7,0.98
posLen_tp_11_rand_c,8,0.93
posLen_tp_11_rand_c,8,0.19
posLen_tp_11_rand_c,8,0.42
posLen_tp_11_rand_c,8,0.78
posLen_tp_11_rand_c,8,0.91
