label,Id,predict_value
posLen_tp_11_rand_c,0,0.68
posLen_tp_11_rand_c,0,0.52
posLen_tp_11_rand_c,0,0.61
posLen_tp_11_rand_c,0,0.48
posLen_tp_11_rand_c,0,0.8
posLen_tp_11_rand_c,1,0.97
posLen_tp_11_rand_c,1,0.43
posLen_tp_11_rand_c,1,0.84
posLen_tp_11_rand_c,1,0.53
posLen_tp_11_rand_c,1,0.55
posLen_tp_11_rand_c,2,0.42
posLen_tp_11_rand_c,2,0.21
posLen_tp_11_rand_c,2,0.24
posLen_tp_11_rand_c,2,0.51
posLen_tp_11_rand_c,2,0.31
posLen_tp_11_rand_c,3,0.97
posLen_tp_11_rand_c,3,0.16
posLen_tp_11_rand_c,3,0.83
posLen_tp_11_rand_c,3,0.09
posLen_tp_11_rand_c,3,0.32
posLen_tp_11_rand_c,4,0.51
posLen_tp_11_rand_c,4,0.2
posLen_tp_11_rand_c,4,0.4
posLen_tp_11_rand_c,4,0.27
posLen_tp_11_rand_c,4,0.12
posLen_tp_11_rand_c,5,0.6
posLen_tp_11_rand_c,5,0.99
posLen_tp_11_rand_c,5,0.54
posLen_tp_11_rand_c,5,0.18
posLen_tp_11_rand_c,5,0.13
posLen_tp_11_rand_c,6,0.61
posLen_tp_11_rand_c,6,1.0
posLen_tp_11_rand_c,6,0.55
posLen_tp_11_rand_c,6,0.19
posLen_tp_11_rand_c,6,0.14
posLen_tp_11_rand_c,7,0.69
posLen_tp_11_rand_c,7,1.08
posLen_tp_11_rand_c,7,0.63
posLen_tp_11_rand_c,7,0.27
posLen_tp_11_rand_c,7,0.22
posLen_tp_11_rand_c,8,0.62
posLen_tp_11_rand_c,8,1.01
posLen_tp_11_rand_c,8,0.56
posLen_tp_11_rand_c,8,0.2
posLen_tp_11_rand_c,8,0.15
