label,Id,predict_value
posLen_tp_11_rand_c,0,0.98
posLen_tp_11_rand_c,0,0.62
posLen_tp_11_rand_c,0,0.2
posLen_tp_11_rand_c,0,0.17
posLen_tp_11_rand_c,0,1
posLen_tp_11_rand_c,1,0.85
posLen_tp_11_rand_c,1,0.49
posLen_tp_11_rand_c,1,1
posLen_tp_11_rand_c,1,0.5
posLen_tp_11_rand_c,1,0.91
posLen_tp_11_rand_c,2,0.1
posLen_tp_11_rand_c,2,0.36
posLen_tp_11_rand_c,2,0.71
posLen_tp_11_rand_c,2,0.11
posLen_tp_11_rand_c,2,0.28
posLen_tp_11_rand_c,3,0.6
posLen_tp_11_rand_c,3,0.19
posLen_tp_11_rand_c,3,0.95
posLen_tp_11_rand_c,3,0.5
posLen_tp_11_rand_c,3,0.32
posLen_tp_11_rand_c,4,0.55
posLen_tp_11_rand_c,4,0.19
posLen_tp_11_rand_c,4,0.61
posLen_tp_11_rand_c,4,0.85
posLen_tp_11_rand_c,4,0.41
posLen_tp_11_rand_c,5,0.11
posLen_tp_11_rand_c,5,0.96
posLen_tp_11_rand_c,5,0.4
posLen_tp_11_rand_c,5,0.92
posLen_tp_11_rand_c,5,0.31
posLen_tp_11_rand_c,6,0.12
posLen_tp_11_rand_c,6,0.97
posLen_tp_11_rand_c,6,0.41
posLen_tp_11_rand_c,6,0.93
posLen_tp_11_rand_c,6,0.32
posLen_tp_11_rand_c,7,0.2
posLen_tp_11_rand_c,7,1.05
posLen_tp_11_rand_c,7,0.49
posLen_tp_11_rand_c,7,1.01
posLen_tp_11_rand_c,7,0.4
posLen_tp_11_rand_c,8,0.13
posLen_tp_11_rand_c,8,0.98
posLen_tp_11_rand_c,8,0.42
posLen_tp_11_rand_c,8,0.94
posLen_tp_11_rand_c,8,0.33
