label,Id,predict_value
posLen_tp_10_rand_c,0,0.4
posLen_tp_10_rand_c,0,1
posLen_tp_10_rand_c,0,0.3
posLen_tp_10_rand_c,0,0.6
posLen_tp_10_rand_c,0,0.1
posLen_tp_10_rand_c,1,0.5
posLen_tp_10_rand_c,1,0.4
posLen_tp_10_rand_c,1,0.3
posLen_tp_10_rand_c,1,0.6
posLen_tp_10_rand_c,1,1
posLen_tp_10_rand_c,2,0.4
posLen_tp_10_rand_c,2,0.2
posLen_tp_10_rand_c,2,0.2
posLen_tp_10_rand_c,2,0.8
posLen_tp_10_rand_c,2,0.6
posLen_tp_10_rand_c,3,1
posLen_tp_10_rand_c,3,0.15
posLen_tp_10_rand_c,3,0.1
posLen_tp_10_rand_c,3,1
posLen_tp_10_rand_c,3,0.8
posLen_tp_10_rand_c,4,0.3
posLen_tp_10_rand_c,4,0.5
posLen_tp_10_rand_c,4,0.4
posLen_tp_10_rand_c,4,0.44
posLen_tp_10_rand_c,4,0.2
posLen_tp_10_rand_c,5,0.15
posLen_tp_10_rand_c,5,0.2
posLen_tp_10_rand_c,5,0.8
posLen_tp_10_rand_c,5,0.2
posLen_tp_10_rand_c,5,0.6
posLen_tp_10_rand_c,6,0.16
posLen_tp_10_rand_c,6,0.21
posLen_tp_10_rand_c,6,0.81
posLen_tp_10_rand_c,6,0.21
posLen_tp_10_rand_c,6,0.61
posLen_tp_10_rand_c,7,0.23
posLen_tp_10_rand_c,7,0.28
posLen_tp_10_rand_c,7,0.88
posLen_tp_10_rand_c,7,0.28
posLen_tp_10_rand_c,7,0.68
posLen_tp_10_rand_c,8,0.17
posLen_tp_10_rand_c,8,0.22
posLen_tp_10_rand_c,8,0.82
posLen_tp_10_rand_c,8,0.22
posLen_tp_10_rand_c,8,0.62
