label,Id,predict_value
posLen_tp_10_rand_c,0,0.25
posLen_tp_10_rand_c,0,0.42
posLen_tp_10_rand_c,0,0.6
posLen_tp_10_rand_c,0,0.9
posLen_tp_10_rand_c,0,0.88
posLen_tp_10_rand_c,1,0.9
posLen_tp_10_rand_c,1,0.85
posLen_tp_10_rand_c,1,0.5
posLen_tp_10_rand_c,1,0.17
posLen_tp_10_rand_c,1,0.17
posLen_tp_10_rand_c,2,0.13
posLen_tp_10_rand_c,2,0.2
posLen_tp_10_rand_c,2,0.8
posLen_tp_10_rand_c,2,0.42
posLen_tp_10_rand_c,2,0.5
posLen_tp_10_rand_c,3,0.56
posLen_tp_10_rand_c,3,0.76
posLen_tp_10_rand_c,3,0.15
posLen_tp_10_rand_c,3,0.95
posLen_tp_10_rand_c,3,0.93
posLen_tp_10_rand_c,4,0.87
posLen_tp_10_rand_c,4,0.5
posLen_tp_10_rand_c,4,0.85
posLen_tp_10_rand_c,4,0.61
posLen_tp_10_rand_c,4,0.72
posLen_tp_10_rand_c,5,0.23
posLen_tp_10_rand_c,5,0.74
posLen_tp_10_rand_c,5,0.26
posLen_tp_10_rand_c,5,0.25
posLen_tp_10_rand_c,5,0.58
posLen_tp_10_rand_c,6,0.24
posLen_tp_10_rand_c,6,0.75
posLen_tp_10_rand_c,6,0.27
posLen_tp_10_rand_c,6,0.26
posLen_tp_10_rand_c,6,0.59
posLen_tp_10_rand_c,7,0.31
posLen_tp_10_rand_c,7,0.82
posLen_tp_10_rand_c,7,0.34
posLen_tp_10_rand_c,7,0.33
posLen_tp_10_rand_c,7,0.66
posLen_tp_10_rand_c,8,0.25
posLen_tp_10_rand_c,8,0.76
posLen_tp_10_rand_c,8,0.28
posLen_tp_10_rand_c,8,0.27
posLen_tp_10_rand_c,8,0.6
