label,Id,predict_value
posLen_tp_12_rand_c,0,0.89
posLen_tp_12_rand_c,0,0.44
posLen_tp_12_rand_c,0,0.99
posLen_tp_12_rand_c,0,0.97
posLen_tp_12_rand_c,0,0.43
posLen_tp_12_rand_c,1,0.92
posLen_tp_12_rand_c,1,0.25
posLen_tp_12_rand_c,1,0.5
posLen_tp_12_rand_c,1,0.86
posLen_tp_12_rand_c,1,0.75
posLen_tp_12_rand_c,2,0.5
posLen_tp_12_rand_c,2,0.32
posLen_tp_12_rand_c,2,0.79
posLen_tp_12_rand_c,2,0.45
posLen_tp_12_rand_c,2,0.1
posLen_tp_12_rand_c,3,0.2
posLen_tp_12_rand_c,3,0.9
posLen_tp_12_rand_c,3,0.47
posLen_tp_12_rand_c,3,0.97
posLen_tp_12_rand_c,3,0.59
posLen_tp_12_rand_c,4,0.19
posLen_tp_12_rand_c,4,0.77
posLen_tp_12_rand_c,4,0.22
posLen_tp_12_rand_c,4,0.9
posLen_tp_12_rand_c,4,0.19
posLen_tp_12_rand_c,5,0.96
posLen_tp_12_rand_c,5,0.92
posLen_tp_12_rand_c,5,0.12
posLen_tp_12_rand_c,5,0.78
posLen_tp_12_rand_c,5,0.76
posLen_tp_12_rand_c,6,0.97
posLen_tp_12_rand_c,6,0.93
posLen_tp_12_rand_c,6,0.13
posLen_tp_12_rand_c,6,0.79
posLen_tp_12_rand_c,6,0.77
posLen_tp_12_rand_c,7,1.02
posLen_tp_12_rand_c,7,0.98
posLen_tp_12_rand_c,7,0.18
posLen_tp_12_rand_c,7,0.84
posLen_tp_12_rand_c,7,0.82
posLen_tp_12_rand_c,8,0.98
posLen_tp_12_rand_c,8,0.94
posLen_tp_12_rand_c,8,0.14
posLen_tp_12_rand_c,8,0.8
posLen_tp_12_rand_c,8,0.78
