label,Id,predict_value
posLen_tp_12_rand_c,0,0.87
posLen_tp_12_rand_c,0,0.75
posLen_tp_12_rand_c,0,0.6
posLen_tp_12_rand_c,0,0.4
posLen_tp_12_rand_c,0,0.68
posLen_tp_12_rand_c,1,0.19
posLen_tp_12_rand_c,1,0.8
posLen_tp_12_rand_c,1,1
posLen_tp_12_rand_c,1,0.96
posLen_tp_12_rand_c,1,0.33
posLen_tp_12_rand_c,2,0.9
posLen_tp_12_rand_c,2,0.9
posLen_tp_12_rand_c,2,0.9
posLen_tp_12_rand_c,2,0.9
posLen_tp_12_rand_c,2,0.8
posLen_tp_12_rand_c,3,0.6
posLen_tp_12_rand_c,3,0.48
posLen_tp_12_rand_c,3,0.75
posLen_tp_12_rand_c,3,0.78
posLen_tp_12_rand_c,3,0.61
posLen_tp_12_rand_c,4,0.5
posLen_tp_12_rand_c,4,0.8
posLen_tp_12_rand_c,4,0.5
posLen_tp_12_rand_c,4,0.3
posLen_tp_12_rand_c,4,0.98
posLen_tp_12_rand_c,5,0.3
posLen_tp_12_rand_c,5,0.9
posLen_tp_12_rand_c,5,0.75
posLen_tp_12_rand_c,5,0.27
posLen_tp_12_rand_c,5,0.78
posLen_tp_12_rand_c,6,0.31
posLen_tp_12_rand_c,6,0.91
posLen_tp_12_rand_c,6,0.76
posLen_tp_12_rand_c,6,0.28
posLen_tp_12_rand_c,6,0.79
posLen_tp_12_rand_c,7,0.36
posLen_tp_12_rand_c,7,0.96
posLen_tp_12_rand_c,7,0.81
posLen_tp_12_rand_c,7,0.33
posLen_tp_12_rand_c,7,0.84
posLen_tp_12_rand_c,8,0.32
posLen_tp_12_rand_c,8,0.92
posLen_tp_12_rand_c,8,0.77
posLen_tp_12_rand_c,8,0.29
posLen_tp_12_rand_c,8,0.8
