label,Id,predict_value
posLen_tp_10_rand_c,0,0.76
posLen_tp_10_rand_c,0,0.68
posLen_tp_10_rand_c,0,0.43
posLen_tp_10_rand_c,0,0.9
posLen_tp_10_rand_c,0,0.68
posLen_tp_10_rand_c,1,0.38
posLen_tp_10_rand_c,1,0.38
posLen_tp_10_rand_c,1,0.77
posLen_tp_10_rand_c,1,0.4
posLen_tp_10_rand_c,1,0.87
posLen_tp_10_rand_c,2,0.26
posLen_tp_10_rand_c,2,0.12
posLen_tp_10_rand_c,2,0.87
posLen_tp_10_rand_c,2,0.94
posLen_tp_10_rand_c,2,0.92
posLen_tp_10_rand_c,3,0.83
posLen_tp_10_rand_c,3,0.53
posLen_tp_10_rand_c,3,1.0
posLen_tp_10_rand_c,3,0.95
posLen_tp_10_rand_c,3,0.44
posLen_tp_10_rand_c,4,0.69
posLen_tp_10_rand_c,4,0.9
posLen_tp_10_rand_c,4,0.96
posLen_tp_10_rand_c,4,0.83
posLen_tp_10_rand_c,4,1.05
posLen_tp_10_rand_c,5,0.33
posLen_tp_10_rand_c,5,1.01
posLen_tp_10_rand_c,5,0.66
posLen_tp_10_rand_c,5,0.16
posLen_tp_10_rand_c,5,0.76
posLen_tp_10_rand_c,6,0.34
posLen_tp_10_rand_c,6,1.02
posLen_tp_10_rand_c,6,0.67
posLen_tp_10_rand_c,6,0.17
posLen_tp_10_rand_c,6,0.77
posLen_tp_10_rand_c,7,0.41
posLen_tp_10_rand_c,7,1.09
posLen_tp_10_rand_c,7,0.74
posLen_tp_10_rand_c,7,0.24
posLen_tp_10_rand_c,7,0.84
posLen_tp_10_rand_c,8,0.35
posLen_tp_10_rand_c,8,1.03
posLen_tp_10_rand_c,8,0.68
posLen_tp_10_rand_c,8,0.18
posLen_tp_10_rand_c,8,0.78
