label,Id,predict_value
posLen_tp_10_rand_c,0,0.47
posLen_tp_10_rand_c,0,0.88
posLen_tp_10_rand_c,0,0.39
posLen_tp_10_rand_c,0,0.39
posLen_tp_10_rand_c,0,0.39
posLen_tp_10_rand_c,1,0.82
posLen_tp_10_rand_c,1,0.13
posLen_tp_10_rand_c,1,0.89
posLen_tp_10_rand_c,1,0.63
posLen_tp_10_rand_c,1,0.26
posLen_tp_10_rand_c,2,0.14
posLen_tp_10_rand_c,2,0.55
posLen_tp_10_rand_c,2,0.74
posLen_tp_10_rand_c,2,0.8
posLen_tp_10_rand_c,2,0.93
posLen_tp_10_rand_c,3,0.83
posLen_tp_10_rand_c,3,0.82
posLen_tp_10_rand_c,3,1.0
posLen_tp_10_rand_c,3,0.44
posLen_tp_10_rand_c,3,0.78
posLen_tp_10_rand_c,4,0.83
posLen_tp_10_rand_c,4,0.14
posLen_tp_10_rand_c,4,0.9
posLen_tp_10_rand_c,4,0.64
posLen_tp_10_rand_c,4,0.27
posLen_tp_10_rand_c,5,0.9
posLen_tp_10_rand_c,5,0.89
posLen_tp_10_rand_c,5,1.07
posLen_tp_10_rand_c,5,0.51
posLen_tp_10_rand_c,5,0.85
posLen_tp_10_rand_c,6,0.17
posLen_tp_10_rand_c,6,0.58
posLen_tp_10_rand_c,6,0.77
posLen_tp_10_rand_c,6,0.83
posLen_tp_10_rand_c,6,0.96
