label,Id,predict_value
posLen_tp_10_rand_c,0,0.33
posLen_tp_10_rand_c,0,0.76
posLen_tp_10_rand_c,0,0.3
posLen_tp_10_rand_c,0,0.66
posLen_tp_10_rand_c,0,0.17
posLen_tp_10_rand_c,1,0.81
posLen_tp_10_rand_c,1,0.33
posLen_tp_10_rand_c,1,0.51
posLen_tp_10_rand_c,1,0.9
posLen_tp_10_rand_c,1,0.56
posLen_tp_10_rand_c,2,0.36
posLen_tp_10_rand_c,2,0.71
posLen_tp_10_rand_c,2,0.57
posLen_tp_10_rand_c,2,0.35
posLen_tp_10_rand_c,2,0.18
posLen_tp_10_rand_c,3,0.3
posLen_tp_10_rand_c,3,0.97
posLen_tp_10_rand_c,3,0.19
posLen_tp_10_rand_c,3,0.66
posLen_tp_10_rand_c,3,0.58
posLen_tp_10_rand_c,4,0.82
posLen_tp_10_rand_c,4,0.34
posLen_tp_10_rand_c,4,0.52
posLen_tp_10_rand_c,4,0.91
posLen_tp_10_rand_c,4,0.57
posLen_tp_10_rand_c,5,0.37
posLen_tp_10_rand_c,5,1.04
posLen_tp_10_rand_c,5,0.26
posLen_tp_10_rand_c,5,0.73
posLen_tp_10_rand_c,5,0.65
posLen_tp_10_rand_c,6,0.39
posLen_tp_10_rand_c,6,0.74
posLen_tp_10_rand_c,6,0.6
posLen_tp_10_rand_c,6,0.38
posLen_tp_10_rand_c,6,0.21
