label,Id,predict_value
posLen_tp_13_rand_c,0,0.25
posLen_tp_13_rand_c,0,0.73
posLen_tp_13_rand_c,0,0.86
posLen_tp_13_rand_c,0,0.95
posLen_tp_13_rand_c,0,0.64
posLen_tp_13_rand_c,1,0.67
posLen_tp_13_rand_c,1,0.79
posLen_tp_13_rand_c,1,0.58
posLen_tp_13_rand_c,1,0.48
posLen_tp_13_rand_c,1,0.61
posLen_tp_13_rand_c,2,0.53
posLen_tp_13_rand_c,2,0.38
posLen_tp_13_rand_c,2,0.54
posLen_tp_13_rand_c,2,0.45
posLen_tp_13_rand_c,2,0.79
posLen_tp_13_rand_c,3,0.55
posLen_tp_13_rand_c,3,0.44
posLen_tp_13_rand_c,3,0.95
posLen_tp_13_rand_c,3,0.63
posLen_tp_13_rand_c,3,0.2
posLen_tp_13_rand_c,4,0.49
posLen_tp_13_rand_c,4,0.63
posLen_tp_13_rand_c,4,0.7
posLen_tp_13_rand_c,4,0.97
posLen_tp_13_rand_c,4,0.34
posLen_tp_13_rand_c,5,0.27
posLen_tp_13_rand_c,5,0.43
posLen_tp_13_rand_c,5,0.57
posLen_tp_13_rand_c,5,0.84
posLen_tp_13_rand_c,5,1.02
posLen_tp_13_rand_c,6,0.75
posLen_tp_13_rand_c,6,0.22
posLen_tp_13_rand_c,6,0.5
posLen_tp_13_rand_c,6,0.69
posLen_tp_13_rand_c,6,0.55
