label,Id,predict_value
posLen_tp_10_rand_c,0,0.78
posLen_tp_10_rand_c,0,0.61
posLen_tp_10_rand_c,0,0.9
posLen_tp_10_rand_c,0,0.15
posLen_tp_10_rand_c,0,0.33
posLen_tp_10_rand_c,1,0.21
posLen_tp_10_rand_c,1,0.46
posLen_tp_10_rand_c,1,0.3
posLen_tp_10_rand_c,1,0.3
posLen_tp_10_rand_c,1,0.31
posLen_tp_10_rand_c,2,0.6
posLen_tp_10_rand_c,2,0.83
posLen_tp_10_rand_c,2,0.82
posLen_tp_10_rand_c,2,0.53
posLen_tp_10_rand_c,2,0.55
posLen_tp_10_rand_c,3,0.44
posLen_tp_10_rand_c,3,0.82
posLen_tp_10_rand_c,3,0.38
posLen_tp_10_rand_c,3,0.16
posLen_tp_10_rand_c,3,0.28
posLen_tp_10_rand_c,4,0.22
posLen_tp_10_rand_c,4,0.47
posLen_tp_10_rand_c,4,0.31
posLen_tp_10_rand_c,4,0.31
posLen_tp_10_rand_c,4,0.32
posLen_tp_10_rand_c,5,0.51
posLen_tp_10_rand_c,5,0.89
posLen_tp_10_rand_c,5,0.45
posLen_tp_10_rand_c,5,0.23
posLen_tp_10_rand_c,5,0.35
posLen_tp_10_rand_c,6,0.63
posLen_tp_10_rand_c,6,0.86
posLen_tp_10_rand_c,6,0.85
posLen_tp_10_rand_c,6,0.56
posLen_tp_10_rand_c,6,0.58
