label,Id,predict_value
posLen_tp_13_rand_c,0,0.57
posLen_tp_13_rand_c,0,0.76
posLen_tp_13_rand_c,0,0.65
posLen_tp_13_rand_c,0,0.75
posLen_tp_13_rand_c,0,0.77
posLen_tp_13_rand_c,1,0.53
posLen_tp_13_rand_c,1,0.46
posLen_tp_13_rand_c,1,0.66
posLen_tp_13_rand_c,1,0.55
posLen_tp_13_rand_c,1,0.3
posLen_tp_13_rand_c,2,0.45
posLen_tp_13_rand_c,2,0.39
posLen_tp_13_rand_c,2,0.24
posLen_tp_13_rand_c,2,0.77
posLen_tp_13_rand_c,2,0.66
posLen_tp_13_rand_c,3,0.74
posLen_tp_13_rand_c,3,0.69
posLen_tp_13_rand_c,3,0.88
posLen_tp_13_rand_c,3,0.5
posLen_tp_13_rand_c,3,0.33
posLen_tp_13_rand_c,4,0.39
posLen_tp_13_rand_c,4,0.83
posLen_tp_13_rand_c,4,0.75
posLen_tp_13_rand_c,4,0.91
posLen_tp_13_rand_c,4,0.55
posLen_tp_13_rand_c,5,0.18
posLen_tp_13_rand_c,5,0.54
posLen_tp_13_rand_c,5,0.69
posLen_tp_13_rand_c,5,0.51
posLen_tp_13_rand_c,5,0.15
posLen_tp_13_rand_c,6,0.33
posLen_tp_13_rand_c,6,0.69
posLen_tp_13_rand_c,6,0.62
posLen_tp_13_rand_c,6,0.75
posLen_tp_13_rand_c,6,0.87
