label,Id,predict_value
posLen_tp_10_rand_c,0,0.81
posLen_tp_10_rand_c,0,0.69
posLen_tp_10_rand_c,0,0.72
posLen_tp_10_rand_c,0,0.33
posLen_tp_10_rand_c,0,0.83
posLen_tp_10_rand_c,1,0.99
posLen_tp_10_rand_c,1,0.84
posLen_tp_10_rand_c,1,0.48
posLen_tp_10_rand_c,1,0.26
posLen_tp_10_rand_c,1,0.4
posLen_tp_10_rand_c,2,0.32
posLen_tp_10_rand_c,2,0.45
posLen_tp_10_rand_c,2,0.35
posLen_tp_10_rand_c,2,0.45
posLen_tp_10_rand_c,2,0.83
posLen_tp_10_rand_c,3,0.76
posLen_tp_10_rand_c,3,0.9
posLen_tp_10_rand_c,3,0.92
posLen_tp_10_rand_c,3,0.82
posLen_tp_10_rand_c,3,0.42
posLen_tp_10_rand_c,4,1.0
posLen_tp_10_rand_c,4,0.85
posLen_tp_10_rand_c,4,0.49
posLen_tp_10_rand_c,4,0.27
posLen_tp_10_rand_c,4,0.41
posLen_tp_10_rand_c,5,0.83
posLen_tp_10_rand_c,5,0.97
posLen_tp_10_rand_c,5,0.99
posLen_tp_10_rand_c,5,0.89
posLen_tp_10_rand_c,5,0.49
posLen_tp_10_rand_c,6,0.35
posLen_tp_10_rand_c,6,0.48
posLen_tp_10_rand_c,6,0.38
posLen_tp_10_rand_c,6,0.48
posLen_tp_10_rand_c,6,0.86
