label,Id,predict_value
posLen_tp_13_rand_c,0,0.89
posLen_tp_13_rand_c,0,0.85
posLen_tp_13_rand_c,0,0.99
posLen_tp_13_rand_c,0,0.97
posLen_tp_13_rand_c,0,0.83
posLen_tp_13_rand_c,1,0.59
posLen_tp_13_rand_c,1,0.65
posLen_tp_13_rand_c,1,0.78
posLen_tp_13_rand_c,1,0.36
posLen_tp_13_rand_c,1,0.6
posLen_tp_13_rand_c,2,0.82
posLen_tp_13_rand_c,2,1.02
posLen_tp_13_rand_c,2,0.76
posLen_tp_13_rand_c,2,0.98
posLen_tp_13_rand_c,2,0.75
posLen_tp_13_rand_c,3,0.65
posLen_tp_13_rand_c,3,0.43
posLen_tp_13_rand_c,3,1.02
posLen_tp_13_rand_c,3,0.67
posLen_tp_13_rand_c,3,0.25
posLen_tp_13_rand_c,4,0.2
posLen_tp_13_rand_c,4,0.85
posLen_tp_13_rand_c,4,0.17
posLen_tp_13_rand_c,4,0.57
posLen_tp_13_rand_c,4,0.74
posLen_tp_13_rand_c,5,0.35
posLen_tp_13_rand_c,5,0.92
posLen_tp_13_rand_c,5,0.96
posLen_tp_13_rand_c,5,0.95
posLen_tp_13_rand_c,5,0.57
posLen_tp_13_rand_c,6,0.4
posLen_tp_13_rand_c,6,0.2
posLen_tp_13_rand_c,6,0.8
posLen_tp_13_rand_c,6,0.6
posLen_tp_13_rand_c,6,0.83
