label,Id,predict_value
posLen_tp_13_rand_c,0,0.65
posLen_tp_13_rand_c,0,0.57
posLen_tp_13_rand_c,0,0.55
posLen_tp_13_rand_c,0,0.51
posLen_tp_13_rand_c,0,0.32
posLen_tp_13_rand_c,1,0.87
posLen_tp_13_rand_c,1,0.25
posLen_tp_13_rand_c,1,0.79
posLen_tp_13_rand_c,1,0.68
posLen_tp_13_rand_c,1,1.06
posLen_tp_13_rand_c,2,1.11
posLen_tp_13_rand_c,2,0.7
posLen_tp_13_rand_c,2,1.01
posLen_tp_13_rand_c,2,0.18
posLen_tp_13_rand_c,2,0.27
posLen_tp_13_rand_c,3,0.62
posLen_tp_13_rand_c,3,0.8
posLen_tp_13_rand_c,3,1.26
posLen_tp_13_rand_c,3,0.67
posLen_tp_13_rand_c,3,0.17
posLen_tp_13_rand_c,4,0.31
posLen_tp_13_rand_c,4,0.43
posLen_tp_13_rand_c,4,0.28
posLen_tp_13_rand_c,4,0.5
posLen_tp_13_rand_c,4,0.54
posLen_tp_13_rand_c,5,0.78
posLen_tp_13_rand_c,5,0.8
posLen_tp_13_rand_c,5,0.56
posLen_tp_13_rand_c,5,0.84
posLen_tp_13_rand_c,5,0.93
posLen_tp_13_rand_c,6,0.82
posLen_tp_13_rand_c,6,0.71
posLen_tp_13_rand_c,6,0.24
posLen_tp_13_rand_c,6,0.36
posLen_tp_13_rand_c,6,0.87
